number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.14103],[0.00000 0.00000 0.00000 0.07955],0.9797606658876263
200,[0.00000 0.00000 0.00000 -0.26924],[0.00000 0.00000 0.00000 0.28049],0.9609925038496699
300,[0.00000 0.00000 0.00000 -0.00386],[0.00000 0.00000 0.00000 0.00006],0.9425838621706605
400,[0.00000 0.00000 0.00000 -0.70372],[0.00000 0.00000 0.00000 1.16251],0.9245278539275122
500,[0.08000 0.08000 0.08000 -1.63280],[0.02560 0.02560 0.02560 2.22139],0.9068177241220878
600,[0.00000 0.00000 0.00000 -0.68096],[0.00000 0.00000 0.00000 1.22677],0.889446847154093
700,[0.16000 0.16000 0.16000 -0.50219],[0.03840 0.03840 0.03840 0.11875],0.8724087243423219
800,[0.16000 0.16000 0.16000 -0.21032],[0.10240 0.10240 0.10240 0.13015],0.8556969814934174
900,[0.16000 0.16000 0.16000 -0.21147],[0.10240 0.10240 0.10240 0.09360],0.8393053665172148
1000,[0.00000 0.00000 0.00000 -0.00260],[0.00000 0.00000 0.00000 0.00003],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -0.19394],[0.00000 0.00000 0.00000 0.07830],0.8074581083489812
1200,[0.08000 0.08000 0.08000 -0.13771],[0.02560 0.02560 0.02560 0.06448],0.7919905506647517
1300,[0.00000 0.00000 0.00000 -0.03680],[0.00000 0.00000 0.00000 0.00542],0.7768192874114557
1400,[0.24000 0.24000 0.24000 -0.24764],[0.10240 0.10240 0.10240 0.09881],0.7619386428132808
1500,[0.40000 0.40000 0.40000 -0.51923],[0.12800 0.12800 0.12800 0.28025],0.7473430498187978
1600,[0.24000 0.24000 0.24000 -0.25805],[0.10240 0.10240 0.10240 0.09504],0.7330270480182665
1700,[0.08000 0.08000 0.08000 -0.20557],[0.02560 0.02560 0.02560 0.06858],0.7189852816008054
1800,[0.56000 0.56000 0.56000 -0.58870],[0.61440 0.61440 0.61440 0.62518],0.705212497350724
1900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6917035426822101
2000,[0.40000 0.40000 0.40000 -0.41607],[0.06400 0.06400 0.06400 0.06770],0.6784533637116886
2100,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6654570033670938
2200,[0.48000 0.48000 0.48000 -0.48000],[0.92160 0.92160 0.92160 0.92160],0.6527095995333525
2300,[0.16000 0.16000 0.16000 -0.17052],[0.10240 0.10240 0.10240 0.11630],0.6402063832334086
2400,[0.00000 0.00000 0.00000 -0.00242],[0.00000 0.00000 0.00000 0.00002],0.6279426768440843
2500,[0.32000 0.32000 0.32000 -0.33234],[0.15360 0.15360 0.15360 0.15242],0.6159138923461105
2600,[0.32000 0.32000 0.32000 -0.32172],[0.15360 0.15360 0.15360 0.15526],0.6041155296076918
2700,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5925431747009424
2800,[0.32000 0.32000 0.32000 -0.32475],[0.15360 0.15360 0.15360 0.15065],0.5811924982505915
2900,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.5700592538142826
3000,[0.40000 0.40000 0.40000 -0.40000],[0.19200 0.19200 0.19200 0.19200],0.5591392762939287
3100,[0.24000 0.24000 0.24000 -0.24000],[0.23040 0.23040 0.23040 0.23040],0.5484284803774964
3200,[0.16000 0.16000 0.16000 -0.19104],[0.10240 0.10240 0.10240 0.09632],0.5379228590106419
3300,[0.72000 0.72000 0.72000 -0.72000],[0.60160 0.60160 0.60160 0.60160],0.5276184818975981
3400,[0.24000 0.24000 0.24000 -0.24457],[0.10240 0.10240 0.10240 0.10395],0.5175114940308205
